id,user_id,date,total_events,total_duration_minutes,social_intensity_score,battery_score,AI_Insight,AI_Score_Explanation,Recovery_Suggestion,user_name,user_number,day_of_week,month,month_name,week,is_exhausted,is_low_battery,is_medium_battery,is_high_battery,battery_category_3,hari_ini,kelompok_intensitas
1.0,hafizhan shidqi_1,2026-01-01,3,918.0,39.8,60.2,"Hi! ☁️ Energi sosialmu sedang berjalan di mode hemat. Ada 3 agenda (918 menit) hari ini yang lumayan menguras tenaga. Yang penting, kamu masih bisa tetap hadir, satu langkah di satu waktu ya! 🍵","Score 60.2/100 ini hadir karena 3 kegiatan (918 menit, intensitas 39.8) sudah cukup menguras energi sosialmu ke zona tengah. Kamu masih baik-baik saja, tapi sinyal untuk berhati-hati sudah mulai menyala. ✨",Bateraimu minta sedikit istirahat. Ada slot 30 menit di 12:00–12:30 yang bisa kamu gunakan setelah Aktivitas sebelumnya. Gunakan untuk benar-benar offline sebelum Aktivitas selanjutnya — nggak ada yang perlu dijawab atau dibalas dulu. 🧸,hafizhan shidqi,1,Thursday,1,January,1,False,False,True,False,Medium (50-80),Kamis,30-50 (Sedang)
2.0,gandhi wibowo_2,2026-01-01,1,960.0,42.5,57.5,"Hai! 🎐 Energi sosialmu hari ini sedang dalam kondisi moderat. Dengan 1 agenda (960 menit total), bateraimu sudah bekerja keras. Itu tanda yang baik bahwa kamu sudah sangat berpartisipasi hari ini! Tapi jangan lupa juga untuk mengisi ulang energi, ya. 🧡","Skor 57.5/100 ini menandakan bateraimu sedang di posisi tengah. Kamu punya 1 kegiatan (960 menit) dan social intensity di 42.5. Kombinasi ini mulai memberikan tekanan yang terasa di energimu, tapi masih dalam batas wajar. 🧸","Ini momennya! Ada 30 menit luang di 12:00–12:30, tepat setelah Aktivitas sebelumnya. Sebelum Aktivitas selanjutnya, gunakan jeda ini untuk melakukan sesuatu yang menenangkan — minum air putih, tarik napas panjang, atau sekadar diam. 🌿",gandhi wibowo,2,Thursday,1,January,1,False,False,True,False,Medium (50-80),Kamis,30-50 (Sedang)
3.0,aldio mahendra purwandrarto_3,2026-01-01,2,887.9999999999999,42.8,57.2,"Hi! ☕ Energi sosialmu hari ini berada di tengah-tengah. Dengan 2 kegiatan (887 menit), wajar kalau kamu mulai merasakan sedikit lelah. Nggak apa-apa, kamu masih bisa manage ini dengan baik. 🤎","Score 57.2/100 ini hadir karena 2 kegiatan (887 menit, intensitas 42.8) sudah cukup menguras energi sosialmu ke zona tengah. Kamu masih baik-baik saja, tapi sinyal untuk berhati-hati sudah mulai menyala. ✨","Ada jeda 30 menit di 12:00–12:30 setelah Aktivitas sebelumnya, dan kamu berhak menikmatinya sepenuhnya. Sebelum Aktivitas selanjutnya, coba lakukan apa yang paling menenangkan buatmu — apapun itu. 🌸",aldio mahendra purwandrarto,3,Thursday,1,January,1,False,False,True,False,Medium (50-80),Kamis,30-50 (Sedang)
4.0,benny putra_4,2026-01-01,6,1007.9999999999998,45.8,54.2,"Hi! 💫 Bateraimu sedang berjalan di tengah jalur nih. Kamu udah melewati 6 aktivitas (1007 menit) dan itu luar biasa. Tapi, sudah saatnya mulai pikirkan juga cara mengisi energimu kembali. Sedikit waktu sendiri bisa sangat menyegarkan! 🌿","Kenapa skornya 54.2? Karena harimu cukup terisi secara sosial. Ada 6 agenda yang mengambil total 1007 menit waktumu, dengan intensitas interaksi di 45.8. Itu sudah cukup untuk membuat bateraimu bekerja ekstra. ☕","Kamu punya 30 menit luang di 12:00–12:30 setelah Aktivitas sebelumnya. Jangan dilewatkan! Gunakan untuk duduk manis, jauh dari layar, sebelum kamu masuk ke Aktivitas selanjutnya berikutnya. 🧸💙",benny putra,4,Thursday,1,January,1,False,False,True,False,Medium (50-80),Kamis,30-50 (Sedang)
5.0,vicky vernando dasta_5,2026-01-02,1,1050.0,39.0,61.0,"Hi! ☕ Energi sosialmu hari ini berada di tengah-tengah. Dengan 1 kegiatan (1050 menit), wajar kalau kamu mulai merasakan sedikit lelah. Nggak apa-apa, kamu masih bisa manage ini dengan baik. 🤎","Skor 61.0/100 ini menandakan bateraimu sedang di posisi tengah. Kamu punya 1 kegiatan (1050 menit) dan social intensity di 39.0. Kombinasi ini mulai memberikan tekanan yang terasa di energimu, tapi masih dalam batas wajar. 🧸","Ini momennya! Ada 30 menit luang di 12:00–12:30, tepat setelah Aktivitas sebelumnya. Sebelum Aktivitas selanjutnya, gunakan jeda ini untuk melakukan sesuatu yang menenangkan — minum air putih, tarik napas panjang, atau sekadar diam. 🌿",vicky vernando dasta,5,Friday,1,January,1,False,False,True,False,Medium (50-80),Jumat,30-50 (Sedang)
6.0,jufianto henri_6,2026-01-02,6,960.0,40.0,60.0,"Hi! 💫 Bateraimu sedang berjalan di tengah jalur nih. Kamu udah melewati 6 aktivitas (960 menit) dan itu luar biasa. Tapi, sudah saatnya mulai pikirkan juga cara mengisi energimu kembali. Sedikit waktu sendiri bisa sangat menyegarkan! 🌿","Score 60.0/100 ini hadir karena 6 kegiatan (960 menit, intensitas 40.0) sudah cukup menguras energi sosialmu ke zona tengah. Kamu masih baik-baik saja, tapi sinyal untuk berhati-hati sudah mulai menyala. ✨","Ada kesempatan emas buat kamu: jeda 30 menit di 12:00–12:30 setelah Aktivitas sebelumnya. Pakai waktu itu untuk dirimu sendiri sebelum Aktivitas selanjutnya dimulai. Nggak perlu produktif, cukup hadir untuk dirimu. 🌙",jufianto henri,6,Friday,1,January,1,False,False,True,False,Medium (50-80),Jumat,30-50 (Sedang)
7.0,aan nuraini_7,2026-01-02,2,1122.0,46.7,53.3,"Hi! 🌥️ Kondisi energi sosialmu hari ini ada di posisi menengah. Ada 2 agenda (1122 menit) yang harus kamu lalui, jadi wajar kalau bateraimu mulai terasa lebih ringan dari biasanya. Jangan lupa selipkan waktu buat dirimu sendiri ya! 🧸","Angka 53.3 mencerminkan hari yang cukup mengisi jadwalmu secara sosial. Dengan 2 aktivitas (1122 menit total) dan intensitas 46.7, bateraimu sudah memberikan banyak energi hari ini. Wajar kalau kamu mulai merasakan lelah yang perlahan. 🌙","Ada kesempatan emas buat kamu: jeda 30 menit di 12:00–12:30 setelah Aktivitas sebelumnya. Pakai waktu itu untuk dirimu sendiri sebelum Aktivitas selanjutnya dimulai. Nggak perlu produktif, cukup hadir untuk dirimu. 🌙",aan nuraini,7,Friday,1,January,1,False,False,True,False,Medium (50-80),Jumat,30-50 (Sedang)
8.0,abdur rahman_8,2026-01-03,2,1104.0000000000002,51.400000000000006,48.6,"Hi! 🕯️ Energi sosialmu sedang benar-benar butuh diisi ulang hari ini. Dengan 2 agenda (1104 menit), wajar banget kalau kamu merasa kelelahan. Nggak apa-apa lho kalau kamu butuh istirahat total. Kamu sudah melakukan banyak hal hari ini. 🤎",Score 48.6 terbentuk dari beban sosial yang cukup besar hari ini. Ada 2 aktivitas (1104 menit total) dengan social intensity tinggi di 51.4. Kombinasi ini adalah alasan utama kenapa bateraimu terasa terkuras. 🌧️,"Melihat kondisi bateraimu, aku menyarankan untuk merelokasi Aktivitas yang bisa digeser (15:00–16:00). Memaksakan diri saat energi sudah terkuras justru bisa membuat pemulihanmu makin lama. Istirahat sekarang itu investasi untuk besok. 🧸🤎",abdur rahman,8,Saturday,1,January,1,False,True,False,False,Low (<50),Sabtu,50-80 (Tinggi)
9.0,abdurrahman_9,2026-01-03,2,1062.0000000000002,60.7,39.3,Halo! 🛋️ Hari ini sepertinya cukup berat buat kamu. Ada 2 kegiatan (1062 menit) yang sudah menguras energimu. Sangat oke kalau kamu mau mengambil jarak sebentar dari interaksi dan memberi ruang buat dirimu sendiri. 💛,Score 39.3/100 mencerminkan kondisi yang perlu mendapat perhatian serius. Faktor utamanya: 2 kegiatan (1062 menit) dan social intensity 60.7. Beban sosial yang sangat tinggi ini adalah alasan kuat untuk prioritaskan istirahat malam ini. 🛌,"Melihat kondisi bateraimu, aku menyarankan untuk merelokasi Aktivitas yang bisa digeser (15:00–16:00). Memaksakan diri saat energi sudah terkuras justru bisa membuat pemulihanmu makin lama. Istirahat sekarang itu investasi untuk besok. 🧸🤎",abdurrahman,9,Saturday,1,January,1,False,True,False,False,Low (<50),Sabtu,50-80 (Tinggi)
10.0,ade indra sukma_10,2026-01-03,3,852.0000000000001,33.7,66.3,"Halo! 🫶 Hari ini cukup ramai buatmu ya. Dengan 3 kegiatan total 852 menit, wajar banget kalau social battery-mu mulai terasa berkurang. Kamu udah hebat bertahan sampai sini! ✨","Score 66.3 mencerminkan hari yang cukup padat, tapi masih manageable. Dengan 3 aktivitas (852 menit total) dan tingkat intensitas 33.7, sistem mendeteksi energimu sudah mulai terkuras di level menengah. 🌿","Waktunya recharge! Kamu punya 30 menit kosong di 12:00–12:30 setelah Aktivitas sebelumnya. Manfaatkan ini untuk istirahat sebelum Aktivitas selanjutnya. Nggak perlu banyak, cukup duduk tenang dan biarkan pikiran istirahat sejenak. 💙",ade indra sukma,10,Saturday,1,January,1,False,False,True,False,Medium (50-80),Sabtu,30-50 (Sedang)
