id,user_id,date,total_duration_minutes,social_intensity_score,battery_score,user_name,user_number,day_of_week,month,month_name,week,is_exhausted,is_low_battery,is_high_battery,battery_category,intensity_group
1,hafizhan shidqi_1,2026-01-01,918,77.9,22.1,hafizhan shidqi,1,Thursday,1,January,1,False,False,False,Medium,70-85
2,gandhi wibowo_2,2026-01-01,960,85.0,15.0,gandhi wibowo,2,Thursday,1,January,1,False,True,False,Low,70-85
3,aldio mahendra purwandrarto_3,2026-01-01,888,81.4,18.6,aldio mahendra purwandrarto,3,Thursday,1,January,1,False,True,False,Low,70-85
4,benny putra_4,2026-01-01,1008,82.4,17.6,benny putra,4,Thursday,1,January,1,False,True,False,Low,70-85
5,vicky vernando dasta_5,2026-01-02,1050,84.5,15.5,vicky vernando dasta,5,Friday,1,January,1,False,True,False,Low,70-85
6,jufianto henri_6,2026-01-02,960,75.0,25.0,jufianto henri,6,Friday,1,January,1,False,False,False,Medium,70-85
7,aan nuraini_7,2026-01-02,1122,93.1,6.9,aan nuraini,7,Friday,1,January,1,False,True,False,Low,85-100 (Tinggi)
8,abdur rahman_8,2026-01-03,1104,97.2,2.8,abdur rahman,8,Saturday,1,January,1,False,True,False,Low,85-100 (Tinggi)
9,abdurrahman_9,2026-01-03,1062,100.0,-5.1,abdurrahman,9,Saturday,1,January,1,True,True,False,Exhausted,85-100 (Tinggi)
10,ade indra sukma_10,2026-01-03,852,69.6,30.4,ade indra sukma,10,Saturday,1,January,1,False,False,False,Medium,50-70
11,ade irmayani_11,2026-01-04,960,90.0,10.0,ade irmayani,11,Sunday,1,January,1,False,True,False,Low,85-100 (Tinggi)
12,bakti yoga fiyandana_12,2026-01-04,894,91.7,8.3,bakti yoga fiyandana,12,Sunday,1,January,1,False,True,False,Low,85-100 (Tinggi)
13,daniel sepra fatama_13,2026-01-04,1098,96.9,3.1,daniel sepra fatama,13,Sunday,1,January,1,False,True,False,Low,85-100 (Tinggi)
14,dayu m sandro_14,2026-01-05,930,83.5,16.5,dayu m sandro,14,Monday,1,January,2,False,True,False,Low,70-85
15,dean mareti hariani_15,2026-01-05,1032,88.6,11.4,dean mareti hariani,15,Monday,1,January,2,False,True,False,Low,85-100 (Tinggi)
16,edi kurniawan wibowo_16,2026-01-05,1044,94.2,5.8,edi kurniawan wibowo,16,Monday,1,January,2,False,True,False,Low,85-100 (Tinggi)
17,fadil rahmat andini_17,2026-01-05,876,65.8,34.2,fadil rahmat andini,17,Monday,1,January,2,False,False,False,Medium,50-70
18,fahmi iqbal firmananda_18,2026-01-06,906,72.3,27.7,fahmi iqbal firmananda,18,Tuesday,1,January,2,False,False,False,Medium,70-85
19,fairuzi_19,2026-01-06,1134,93.7,6.3,fairuzi,19,Tuesday,1,January,2,False,True,False,Low,85-100 (Tinggi)
20,gustian_20,2026-01-06,870,75.5,24.5,gustian,20,Tuesday,1,January,2,False,False,False,Medium,70-85
21,habil sabilla do'a_21,2026-01-07,1074,90.7,9.3,habil sabilla do'a,21,Wednesday,1,January,2,False,True,False,Low,85-100 (Tinggi)
22,hermawan syah_22,2026-01-07,948,74.4,25.6,hermawan syah,22,Wednesday,1,January,2,False,False,False,Medium,70-85
23,ibnuyohanzah ahmad_23,2026-01-07,870,70.5,29.5,ibnuyohanzah ahmad,23,Wednesday,1,January,2,False,False,False,Medium,70-85
24,lia pertiwi_24,2026-01-08,894,81.7,18.3,lia pertiwi,24,Thursday,1,January,2,False,True,False,Low,70-85
25,muhammad maksum sugondo_25,2026-01-08,1014,72.7,27.3,muhammad maksum sugondo,25,Thursday,1,January,2,False,False,False,Medium,70-85
26,muhammad risfandanu_26,2026-01-08,984,76.2,23.8,muhammad risfandanu,26,Thursday,1,January,2,False,False,False,Medium,70-85
27,adnil riza_27,2026-01-09,852,74.6,25.4,adnil riza,27,Friday,1,January,2,False,False,False,Medium,70-85
28,nadia gustiana_28,2026-01-09,960,95.0,5.0,nadia gustiana,28,Friday,1,January,2,False,True,False,Low,85-100 (Tinggi)
29,nanda aditya_29,2026-01-09,870,80.5,19.5,nanda aditya,29,Friday,1,January,2,False,True,False,Low,70-85
30,nurgivo alfajri_30,2026-01-10,936,88.8,11.2,nurgivo alfajri,30,Saturday,1,January,2,False,True,False,Low,85-100 (Tinggi)
31,pita irul sayekti_31,2026-01-10,1032,93.6,6.4,pita irul sayekti,31,Saturday,1,January,2,False,True,False,Low,85-100 (Tinggi)
32,rahmadi gusri_32,2026-01-10,1044,94.2,5.8,rahmadi gusri,32,Saturday,1,January,2,False,True,False,Low,85-100 (Tinggi)
33,rahmat_33,2026-01-11,936,88.8,11.2,rahmat,33,Sunday,1,January,2,False,True,False,Low,85-100 (Tinggi)
34,sadra wilis_34,2026-01-11,930,83.5,16.5,sadra wilis,34,Sunday,1,January,2,False,True,False,Low,70-85
35,said rio apriadi_35,2026-01-12,1038,78.9,21.1,said rio apriadi,35,Monday,1,January,3,False,False,False,Medium,70-85
36,tania rahmadhini_36,2026-01-12,984,86.2,13.8,tania rahmadhini,36,Monday,1,January,3,False,True,False,Low,85-100 (Tinggi)
37,tarikhul mahfudz_37,2026-01-13,870,75.5,24.5,tarikhul mahfudz,37,Tuesday,1,January,3,False,False,False,Medium,70-85
38,vido idramedi_38,2026-01-13,876,70.8,29.2,vido idramedi,38,Tuesday,1,January,3,False,False,False,Medium,70-85
39,wahyu darmawan_39,2026-01-13,1092,86.6,13.4,wahyu darmawan,39,Tuesday,1,January,3,False,True,False,Low,85-100 (Tinggi)
40,yana famana_40,2026-01-14,978,100.0,-5.9,yana famana,40,Wednesday,1,January,3,True,True,False,Exhausted,85-100 (Tinggi)
41,yusrika dewi_41,2026-01-14,924,73.2,26.8,yusrika dewi,41,Wednesday,1,January,3,False,False,False,Medium,70-85
42,zakiah nurviani_42,2026-01-15,942,79.1,20.9,zakiah nurviani,42,Thursday,1,January,3,False,False,False,Medium,70-85
43,aditya dwi nugraha_43,2026-01-15,1062,95.1,4.9,aditya dwi nugraha,43,Thursday,1,January,3,False,True,False,Low,85-100 (Tinggi)
44,afrian djugi_44,2026-01-16,900,72.0,28.0,afrian djugi,44,Friday,1,January,3,False,False,False,Medium,70-85
45,debby jayadi nugroho_45,2026-01-16,1080,91.0,9.0,debby jayadi nugroho,45,Friday,1,January,3,False,True,False,Low,85-100 (Tinggi)
46,dede dwi arviyanti_46,2026-01-17,864,70.2,29.8,dede dwi arviyanti,46,Saturday,1,January,3,False,False,False,Medium,70-85
47,della maulina herianda_47,2026-01-17,1014,87.7,12.3,della maulina herianda,47,Saturday,1,January,3,False,True,False,Low,85-100 (Tinggi)
48,deny gustriansyah_48,2026-01-18,1092,100.0,-6.6,deny gustriansyah,48,Sunday,1,January,3,True,True,False,Exhausted,85-100 (Tinggi)
49,desi fitri_49,2026-01-18,966,85.3,14.7,desi fitri,49,Sunday,1,January,3,False,True,False,Low,85-100 (Tinggi)
50,edmund andriano_50,2026-01-19,930,83.5,16.5,edmund andriano,50,Monday,1,January,4,False,True,False,Low,70-85
51,fajar aulia rahman_51,2026-01-19,900,87.0,13.0,fajar aulia rahman,51,Monday,1,January,4,False,True,False,Low,85-100 (Tinggi)
52,fathiya hasyifah sibarani_52,2026-01-20,930,73.5,26.5,fathiya hasyifah sibarani,52,Tuesday,1,January,4,False,False,False,Medium,70-85
53,fauzar_53,2026-01-20,1026,88.3,11.7,fauzar,53,Tuesday,1,January,4,False,True,False,Low,85-100 (Tinggi)
54,habzer maisera_54,2026-01-21,1056,99.8,0.2,habzer maisera,54,Wednesday,1,January,4,False,True,False,Low,85-100 (Tinggi)
55,herzavina_55,2026-01-21,894,76.7,23.3,herzavina,55,Wednesday,1,January,4,False,False,False,Medium,70-85
56,ikbal gazalba_56,2026-01-22,954,74.7,25.3,ikbal gazalba,56,Thursday,1,January,4,False,False,False,Medium,70-85
57,ikhsan firdaus_57,2026-01-22,978,95.9,4.1,ikhsan firdaus,57,Thursday,1,January,4,False,True,False,Low,85-100 (Tinggi)
58,ilda ikhwana lubis_58,2026-01-23,1008,77.4,22.6,ilda ikhwana lubis,58,Friday,1,January,4,False,False,False,Medium,70-85
59,jayus suryawan_59,2026-01-23,888,86.4,13.6,jayus suryawan,59,Friday,1,January,4,False,True,False,Low,85-100 (Tinggi)
60,muhammad bagoes samaron_60,2026-01-24,978,90.9,9.1,muhammad bagoes samaron,60,Saturday,1,January,4,False,True,False,Low,85-100 (Tinggi)
61,muhammad hanafi_61,2026-01-24,852,79.6,20.4,muhammad hanafi,61,Saturday,1,January,4,False,False,False,Medium,70-85
62,muhammad ilham akbar khoiri_62,2026-01-25,1032,98.6,1.4,muhammad ilham akbar khoiri,62,Sunday,1,January,4,False,True,False,Low,85-100 (Tinggi)
63,narendra benny_63,2026-01-25,1128,83.4,16.6,narendra benny,63,Sunday,1,January,4,False,True,False,Low,70-85
64,naufal abiyyu_64,2026-01-26,990,91.5,8.5,naufal abiyyu,64,Monday,1,January,5,False,True,False,Low,85-100 (Tinggi)
65,nurhikmah_65,2026-01-26,1020,93.0,7.0,nurhikmah,65,Monday,1,January,5,False,True,False,Low,85-100 (Tinggi)
66,fadana bagus harsono_66,2026-01-27,990,76.5,23.5,fadana bagus harsono,66,Tuesday,1,January,5,False,False,False,Medium,70-85
67,rahmi omya ulta_67,2026-01-27,1116,87.8,12.2,rahmi omya ulta,67,Tuesday,1,January,5,False,True,False,Low,85-100 (Tinggi)
68,rahmi septhianingrum_68,2026-01-28,1026,93.3,6.7,rahmi septhianingrum,68,Wednesday,1,January,5,False,True,False,Low,85-100 (Tinggi)
69,rangga arief putra_69,2026-01-28,858,69.9,30.1,rangga arief putra,69,Wednesday,1,January,5,False,False,False,Medium,50-70
70,rangga dwi nugrawan_70,2026-01-29,888,86.4,13.6,rangga dwi nugrawan,70,Thursday,1,January,5,False,True,False,Low,85-100 (Tinggi)
71,saiful wahyudi_71,2026-01-29,1104,97.2,2.8,saiful wahyudi,71,Thursday,1,January,5,False,True,False,Low,85-100 (Tinggi)
72,sari devia agustina_72,2026-01-30,1056,89.8,10.2,sari devia agustina,72,Friday,1,January,5,False,True,False,Low,85-100 (Tinggi)
73,taufik oktafiyardi_73,2026-01-30,840,74.0,26.0,taufik oktafiyardi,73,Friday,1,January,5,False,False,False,Medium,70-85
74,teddy franwijaya_74,2026-01-31,882,76.1,23.9,teddy franwijaya,74,Saturday,1,January,5,False,False,False,Medium,70-85
75,vigo farlandi_75,2026-01-31,1110,97.5,2.5,vigo farlandi,75,Saturday,1,January,5,False,True,False,Low,85-100 (Tinggi)
76,wahyu ernu setiawan_76,2026-02-01,1026,93.3,6.7,wahyu ernu setiawan,76,Sunday,2,February,5,False,True,False,Low,85-100 (Tinggi)
77,yofaldi laksmana putra_77,2026-02-01,1044,84.2,15.8,yofaldi laksmana putra,77,Sunday,2,February,5,False,True,False,Low,70-85
