id,user_id,date,total_events,total_duration_minutes,social_intensity_score,battery_score,AI_Insight,AI_Score_Explanation,Recovery_Suggestion
1,hafizhan shidqi_1,2026-01-01,4,918,77.9,22.1,"Fungsi

Memberikan rangkuman kondisi social battery user berdasarkan aktivitas kalender dan hasil perhitungan sistem.

Tujuan

Supaya user tidak hanya melihat angka score, tapi juga mendapatkan interpretasi yang mudah dipahami.

Contoh
Hari ini kamu memiliki 5 aktivitas sosial dengan total durasi 420 menit. Aktivitas sosialmu cukup padat sehingga social battery berada pada level sedang.
Input yang dipakai AI
jumlah event
total durasi
jumlah attendee
battery score
status battery","Fungsi

Menjelaskan kenapa score social battery user bisa tinggi / sedang / rendah.

Tujuan

Meningkatkan transparansi sistem scoring supaya user paham faktor yang mempengaruhi hasil.

Contoh
Score 62 diperoleh karena user memiliki beberapa meeting berdurasi panjang dengan jumlah peserta yang cukup banyak.
Yang dijelaskan
faktor penurun score
faktor peningkat score
hubungan event dengan hasil score","Fungsi

Memberikan rekomendasi aktivitas recovery berdasarkan kondisi social battery user.

Tujuan

Membantu user menjaga energi sosial dan mengurangi social fatigue.

Contoh

Kalau score rendah:

Coba kurangi aktivitas sosial tambahan malam ini dan ambil waktu istirahat tanpa notifikasi selama 30 menit.

Kalau score tinggi:

Energi sosialmu masih stabil. Tetap pertahankan jeda antar aktivitas agar tidak cepat lelah."
2,gandhi wibowo_2,2026-01-01,4,960,85,15,,,
3,aldio mahendra purwandrarto_3,2026-01-01,4,888,81.4,18.6,,,
4,benny putra_4,2026-01-01,4,1008,82.4,17.6,,,
5,vicky vernando dasta_5,2026-01-02,4,1050,84.5,15.5,,,
6,jufianto henri_6,2026-01-02,4,960,75,25,,,
7,aan nuraini_7,2026-01-02,4,1122,93.1,6.9,,,
8,abdur rahman_8,2026-01-03,4,1104,97.2,2.8,,,
9,abdurrahman_9,2026-01-03,4,1062,105.1,-5.1,,,
10,ade indra sukma_10,2026-01-03,4,852,69.6,30.4,,,
11,ade irmayani_11,2026-01-04,4,960,90,10,,,
12,bakti yoga fiyandana_12,2026-01-04,4,894,91.7,8.3,,,
13,daniel sepra fatama_13,2026-01-04,4,1098,96.9,3.1,,,
14,dayu m sandro_14,2026-01-05,4,930,83.5,16.5,,,
15,dean mareti hariani_15,2026-01-05,4,1032,88.6,11.4,,,
16,edi kurniawan wibowo_16,2026-01-05,4,1044,94.2,5.8,,,
17,fadil rahmat andini_17,2026-01-05,4,876,65.8,34.2,,,
18,fahmi iqbal firmananda_18,2026-01-06,4,906,72.3,27.7,,,
19,fairuzi_19,2026-01-06,4,1134,93.7,6.3,,,
20,gustian_20,2026-01-06,4,870,75.5,24.5,,,
21,habil sabilla do'a_21,2026-01-07,4,1074,90.7,9.3,,,
22,hermawan syah_22,2026-01-07,4,948,74.4,25.6,,,
23,ibnuyohanzah ahmad_23,2026-01-07,4,870,70.5,29.5,,,
24,lia pertiwi_24,2026-01-08,4,894,81.7,18.3,,,
25,muhammad maksum sugondo_25,2026-01-08,4,1014,72.7,27.3,,,
26,muhammad risfandanu_26,2026-01-08,4,984,76.2,23.8,,,
27,adnil riza_27,2026-01-09,4,852,74.6,25.4,,,
28,nadia gustiana_28,2026-01-09,4,960,95,5,,,
29,nanda aditya_29,2026-01-09,4,870,80.5,19.5,,,
30,nurgivo alfajri_30,2026-01-10,4,936,88.8,11.2,,,
31,pita irul sayekti_31,2026-01-10,4,1032,93.6,6.4,,,
32,rahmadi gusri_32,2026-01-10,4,1044,94.2,5.8,,,
33,rahmat_33,2026-01-11,4,936,88.8,11.2,,,
34,sadra wilis_34,2026-01-11,4,930,83.5,16.5,,,
35,said rio apriadi_35,2026-01-12,4,1038,78.9,21.1,,,
36,tania rahmadhini_36,2026-01-12,4,984,86.2,13.8,,,
37,tarikhul mahfudz_37,2026-01-13,4,870,75.5,24.5,,,
38,vido idramedi_38,2026-01-13,4,876,70.8,29.2,,,
39,wahyu darmawan_39,2026-01-13,4,1092,86.6,13.4,,,
40,yana famana_40,2026-01-14,4,978,105.9,-5.9,,,
41,yusrika dewi_41,2026-01-14,4,924,73.2,26.8,,,
42,zakiah nurviani_42,2026-01-15,4,942,79.1,20.9,,,
43,aditya dwi nugraha_43,2026-01-15,4,1062,95.1,4.9,,,
44,afrian djugi_44,2026-01-16,4,900,72,28,,,
45,debby jayadi nugroho_45,2026-01-16,4,1080,91,9,,,
46,dede dwi arviyanti_46,2026-01-17,4,864,70.2,29.8,,,
47,della maulina herianda_47,2026-01-17,4,1014,87.7,12.3,,,
48,deny gustriansyah_48,2026-01-18,4,1092,106.6,-6.6,,,
49,desi fitri_49,2026-01-18,4,966,85.3,14.7,,,
50,edmund andriano_50,2026-01-19,4,930,83.5,16.5,,,
51,fajar aulia rahman_51,2026-01-19,4,900,87,13,,,
52,fathiya hasyifah sibarani_52,2026-01-20,4,930,73.5,26.5,,,
53,fauzar_53,2026-01-20,4,1026,88.3,11.7,,,
54,habzer maisera_54,2026-01-21,4,1056,99.8,0.2,,,
55,herzavina_55,2026-01-21,4,894,76.7,23.3,,,
56,ikbal gazalba_56,2026-01-22,4,954,74.7,25.3,,,
57,ikhsan firdaus_57,2026-01-22,4,978,95.9,4.1,,,
58,ilda ikhwana lubis_58,2026-01-23,4,1008,77.4,22.6,,,
59,jayus suryawan_59,2026-01-23,4,888,86.4,13.6,,,
60,muhammad bagoes samaron_60,2026-01-24,4,978,90.9,9.1,,,
61,muhammad hanafi_61,2026-01-24,4,852,79.6,20.4,,,
62,muhammad ilham akbar khoiri_62,2026-01-25,4,1032,98.6,1.4,,,
63,narendra benny_63,2026-01-25,4,1128,83.4,16.6,,,
64,naufal abiyyu_64,2026-01-26,4,990,91.5,8.5,,,
65,nurhikmah_65,2026-01-26,4,1020,93,7,,,
66,fadana bagus harsono_66,2026-01-27,4,990,76.5,23.5,,,
67,rahmi omya ulta_67,2026-01-27,4,1116,87.8,12.2,,,
68,rahmi septhianingrum_68,2026-01-28,4,1026,93.3,6.7,,,
69,rangga arief putra_69,2026-01-28,4,858,69.9,30.1,,,
70,rangga dwi nugrawan_70,2026-01-29,4,888,86.4,13.6,,,
71,saiful wahyudi_71,2026-01-29,4,1104,97.2,2.8,,,
72,sari devia agustina_72,2026-01-30,4,1056,89.8,10.2,,,
73,taufik oktafiyardi_73,2026-01-30,4,840,74,26,,,
74,teddy franwijaya_74,2026-01-31,4,882,76.1,23.9,,,
75,vigo farlandi_75,2026-01-31,4,1110,97.5,2.5,,,
76,wahyu ernu setiawan_76,2026-02-01,4,1026,93.3,6.7,,,
77,yofaldi laksmana putra_77,2026-02-01,4,1044,84.2,15.8,,,
78,zubaidah_78,2026-02-02,4,1050,89.5,10.5,,,
79,agus faturrahman_79,2026-02-02,4,900,77,23,,,
80,agustiando rahmat_80,2026-02-03,4,1008,102.4,-2.4,,,
81,aidil badri_81,2026-02-03,4,1098,96.9,3.1,,,
82,alfajri_82,2026-02-03,4,1116,97.8,2.2,,,
83,bayu hasan basyir aljawi_83,2026-02-03,4,1116,97.8,2.2,,,
84,desi fransiska_84,2026-02-04,4,846,69.3,30.7,,,
85,desnando_85,2026-02-04,4,906,72.3,27.7,,,
86,desri ardika_86,2026-02-04,4,1134,93.7,6.3,,,
87,dessy masdianata p_87,2026-02-04,4,1104,97.2,2.8,,,
88,destria membrane_88,2026-02-04,4,1056,84.8,15.2,,,
89,eka nur safitri_89,2026-02-05,4,1134,103.7,-3.7,,,
90,fauziah_90,2026-02-05,4,852,89.6,10.4,,,
91,feny afrisilia_91,2026-02-05,4,1002,82.1,17.9,,,
92,hesty afriani srg_92,2026-02-05,4,852,84.6,15.4,,,
93,ilham afandi aziz_93,2026-02-05,4,1056,79.8,20.2,,,
94,ilham fajri_94,2026-02-06,4,846,79.3,20.7,,,
95,indah permata sari_95,2026-02-06,4,1050,94.5,5.5,,,
96,jukhri syahputra_96,2026-02-06,4,858,79.9,20.1,,,
97,m. muawam_97,2026-02-06,4,858,79.9,20.1,,,
98,m. yassir saputra jamina_98,2026-02-06,4,960,85,15,,,
99,mardiyyat fadliellah_99,2026-02-07,4,888,66.4,33.6,,,
100,mukhtar lutfi_100,2026-02-07,4,894,91.7,8.3,,,
101,nazarudin yusuf_101,2026-02-07,4,912,67.6,32.4,,,
102,neni anggraeni dalimunthe_102,2026-02-07,4,852,69.6,30.4,,,
103,nurpauliani dewi n_103,2026-02-07,4,954,84.7,15.3,,,
104,rano abdul rahman_104,2026-02-07,4,984,86.2,13.8,,,
105,ratih purwasih_105,2026-02-08,4,876,75.8,24.2,,,
106,raynaldi setiawan_106,2026-02-08,4,1098,91.9,8.1,,,
107,shynta dwi afitri_107,2026-02-08,4,1020,88,12,,,
108,siti romlah_108,2026-02-08,4,1020,83,17,,,
109,teresno maulana_109,2026-02-08,4,1098,91.9,8.1,,,
110,tessa eka fatiwi_110,2026-02-09,4,990,86.5,13.5,,,
111,wendi gusfan hutapea_111,2026-02-09,4,1116,92.8,7.2,,,
112,yovita sari_112,2026-02-09,4,870,85.5,14.5,,,
113,zukri adinalta_113,2026-02-09,4,1080,86,14,,,
114,alfi sahri_114,2026-02-09,4,1104,107.2,-7.2,,,
115,amalia wulandari_115,2026-02-10,4,990,96.5,3.5,,,
116,amelia novrida_116,2026-02-10,4,1122,98.1,1.9,,,
117,andre ganda wilaga putra_117,2026-02-10,4,1086,96.3,3.7,,,
118,andre oktora_118,2026-02-10,4,1002,87.1,12.9,,,
119,benni setiawan_119,2026-02-10,4,924,88.2,11.8,,,
120,deswanto_120,2026-02-11,4,978,85.9,14.1,,,
121,desy syahputri_121,2026-02-11,4,1134,78.7,21.3,,,
122,eka wulandari_122,2026-02-11,4,960,90,10,,,
123,ferry ramadhan_123,2026-02-11,4,1116,92.8,7.2,,,
124,firdaus_124,2026-02-11,4,1056,94.8,5.2,,,
125,hamdani asril_125,2026-02-12,4,1032,78.6,21.4,,,
126,hijrah syahputra_126,2026-02-12,4,1068,90.4,9.6,,,
127,indah rahmawati_127,2026-02-12,4,1086,81.3,18.7,,,
128,indra firman_128,2026-02-12,4,1104,102.2,-2.2,,,
129,indri dian pertiwi_129,2026-02-12,4,894,71.7,28.3,,,
130,kemal pasha_130,2026-02-13,4,966,95.3,4.7,,,
131,muhammad sayuti nur nasution_131,2026-02-13,4,1044,89.2,10.8,,,
132,miftahur ridho_132,2026-02-13,4,1056,99.8,0.2,,,
133,mila yuli yanti_133,2026-02-13,4,978,95.9,4.1,,,
134,muhammad wendi hidayat_134,2026-02-13,4,1044,94.2,5.8,,,
135,nikawati_135,2026-02-14,4,912,82.6,17.4,,,
136,nofan widiyarna_136,2026-02-14,4,888,86.4,13.6,,,
137,nurudin rahman_137,2026-02-14,4,858,64.9,35.1,,,
138,puji astuti_138,2026-02-14,4,1098,91.9,8.1,,,
139,refi delia_139,2026-02-14,4,1092,106.6,-6.6,,,
140,reno mulia sari_140,2026-02-14,4,1020,93,7,,,
141,resa putri ananda_141,2026-02-15,4,1002,87.1,12.9,,,
142,resi septiani_142,2026-02-15,4,1026,103.3,-3.3,,,
143,rudi kurniawan_143,2026-02-15,4,1104,87.2,12.8,,,
144,siti zulaiha_144,2026-02-15,4,954,99.7,0.3,,,
145,sry dhina pohan_145,2026-02-16,4,1092,86.6,13.4,,,
146,thovanni jogga_146,2026-02-16,4,912,87.6,12.4,,,
147,tian fitra kurniawan_147,2026-02-16,4,1104,107.2,-7.2,,,
148,widya ayu azhari_148,2026-02-17,4,1074,95.7,4.3,,,
149,yudiatma adrion_149,2026-02-17,4,930,78.5,21.5,,,
150,zukri rahman_150,2026-02-17,4,966,90.3,9.7,,,
151,andre saputra_151,2026-02-17,4,1092,96.6,3.4,,,
152,andrianto_152,2026-02-17,4,858,89.9,10.1,,,
153,andryan dwi cahyono_153,2026-02-18,4,930,78.5,21.5,,,
154,angga wiratama_154,2026-02-18,4,858,84.9,15.1,,,
155,anggi desmita arini_155,2026-02-18,4,846,69.3,30.7,,,
156,dewi cita rani_156,2026-02-18,4,1122,103.1,-3.1,,,
157,dewi kartika sari_157,2026-02-19,4,1038,83.9,16.1,,,
158,dewi shinta octariati_158,2026-02-19,4,918,82.9,17.1,,,
159,firdaus_159,2026-02-19,4,1098,86.9,13.1,,,
160,fitra andri gunawan_160,2026-02-19,4,966,80.3,19.7,,,
161,indriani saritsha_161,2026-02-20,4,1086,96.3,3.7,,,
162,inggar wangi r_162,2026-02-20,4,990,91.5,8.5,,,
163,mira afriani_163,2026-02-20,4,1080,106,-6,,,
164,muhammad adri_164,2026-02-20,4,972,85.6,14.4,,,
165,muhammad alayyubi_165,2026-02-21,4,984,81.2,18.8,,,
166,nony chrisnayanti_166,2026-02-21,4,882,86.1,13.9,,,
167,nora ferwati_167,2026-02-21,4,948,84.4,15.6,,,
168,nurul gayatri indah reza_168,2026-02-21,4,1068,85.4,14.6,,,
169,benny yohanes_169,2026-02-22,4,900,82,18,,,
170,elennuari_170,2026-02-22,4,924,83.2,16.8,,,
171,harika vaizal_171,2026-02-22,4,942,74.1,25.9,,,
172,hildayanti oktaviana_172,2026-02-23,4,1080,76,24,,,
173,khairul fahmi purba_173,2026-02-23,4,1014,82.7,17.3,,,
174,muhammad triyoga sp_174,2026-02-24,4,960,95,5,,,
175,putri lia lestari_175,2026-02-24,4,972,80.6,19.4,,,
176,resti yulia_176,2026-02-24,4,882,81.1,18.9,,,
177,reysa hastarimasuci_177,2026-02-24,4,1014,82.7,17.3,,,
178,reza fahlevi_178,2026-02-25,4,1098,91.9,8.1,,,
179,rhesma naca_179,2026-02-25,4,1086,86.3,13.7,,,
180,rudi wijaya_180,2026-02-25,4,942,94.1,5.9,,,
181,suci fahma julia_181,2026-02-25,4,1098,96.9,3.1,,,
182,suci hijryani fitry_182,2026-02-26,4,1086,96.3,3.7,,,
183,tika handayani asnur_183,2026-02-26,4,984,86.2,13.8,,,
184,tio doli raharjo_184,2026-02-26,4,1068,90.4,9.6,,,
185,winda wahyuti_185,2026-02-26,4,924,83.2,16.8,,,
186,yulia ningsih_186,2026-02-26,4,918,77.9,22.1,,,
187,anggia anfina_187,2026-02-27,4,960,85,15,,,
188,anita pauzia hsb_188,2026-02-27,4,1110,87.5,12.5,,,
189,annisa julita sari_189,2026-02-27,4,936,68.8,31.2,,,
190,boby adi oktarino_190,2026-02-27,4,1056,94.8,5.2,,,
191,dias marzal fatama_191,2026-02-28,4,864,80.2,19.8,,,
192,dicky mahendra_192,2026-02-28,4,876,70.8,29.2,,,
193,dika aristya linardi_193,2026-02-28,4,930,88.5,11.5,,,
194,elvi suryani_194,2026-02-28,4,858,74.9,25.1,,,
195,fitra miswardi_195,2026-03-01,4,1086,96.3,3.7,,,
196,fitri meldiani_196,2026-03-01,4,858,74.9,25.1,,,
197,husnul habib_197,2026-03-01,4,1044,89.2,10.8,,,
198,irfani dwi ayu riski_198,2026-03-01,4,1116,87.8,12.2,,,
199,irpandi kurniawan_199,2026-03-01,4,1122,98.1,1.9,,,
200,kurniawan eka putra_200,2026-03-01,4,876,80.8,19.2,,,
201,muhammad asri wisnu wardana_201,2026-03-01,4,876,85.8,14.2,,,
202,muhammad audi reza islami_202,2026-03-02,4,840,84,16,,,
203,muhammad azmeer_203,2026-03-02,4,996,96.8,3.2,,,
204,muhammad thoha_204,2026-03-02,4,1068,90.4,9.6,,,
205,novi gustiana_205,2026-03-02,4,1050,94.5,5.5,,,
206,novia kumala sari_206,2026-03-03,4,1074,95.7,4.3,,,
207,padli nofrizal_207,2026-03-03,4,1014,77.7,22.3,,,
208,putri wahyuni_208,2026-03-03,4,840,79,21,,,
209,rahmat hidayat_209,2026-03-03,4,960,85,15,,,
210,rahmi andreni_210,2026-03-03,4,906,92.3,7.7,,,
211,rian aries fani_211,2026-03-04,4,876,80.8,19.2,,,
212,riandi selvi_212,2026-03-04,4,894,81.7,18.3,,,
213,rianto_213,2026-03-04,4,960,85,15,,,
214,ridha ulva_214,2026-03-04,4,882,76.1,23.9,,,
215,rizqi wahyuningsih_215,2026-03-05,4,1116,87.8,12.2,,,
216,ruwadi saputra_216,2026-03-05,4,1116,82.8,17.2,,,
217,sugeng hermawan_217,2026-03-05,4,882,86.1,13.9,,,
218,suliatun_218,2026-03-05,4,936,88.8,11.2,,,
219,tomi ismeidianto_219,2026-03-05,4,900,77,23,,,
220,usthalay putra_220,2026-03-06,4,954,84.7,15.3,,,
221,winggo aga septian_221,2026-03-06,4,876,95.8,4.2,,,
222,yunaldi rizki putra_222,2026-03-06,4,1092,101.6,-1.6,,,
223,arif fasetyo_223,2026-03-07,4,1140,104,-4,,,
224,arie rahman satria_224,2026-03-07,4,948,89.4,10.6,,,
225,arinda oktaviana_225,2026-03-07,4,912,82.6,17.4,,,
226,asri jakawendra_226,2026-03-07,4,1110,102.5,-2.5,,,
227,astri stiawaty_227,2026-03-08,4,1050,104.5,-4.5,,,
228,aszani_228,2026-03-08,4,1128,103.4,-3.4,,,
229,boby rahman_229,2026-03-08,4,918,82.9,17.1,,,
230,dewi cahyati_230,2026-03-08,4,1056,79.8,20.2,,,
231,dimas aditya perdana_231,2026-03-09,4,1092,91.6,8.4,,,
232,dinda afani_232,2026-03-09,4,942,89.1,10.9,,,
233,doni sanjaya_233,2026-03-09,4,1008,87.4,12.6,,,
234,fitri yanti_234,2026-03-10,4,846,74.3,25.7,,,
235,hendri eka saputra_235,2026-03-10,4,1074,75.7,24.3,,,
236,irwan ahmad gafur_236,2026-03-10,4,852,74.6,25.4,,,
237,isa ismail_237,2026-03-10,4,906,82.3,17.7,,,
238,kurniawan rosman a_238,2026-03-11,4,864,80.2,19.8,,,
239,muhammad azmy_239,2026-03-11,4,1104,82.2,17.8,,,
240,muhammad ilham_240,2026-03-11,4,1122,93.1,6.9,,,
241,muhammad sholihan_241,2026-03-11,4,1044,89.2,10.8,,,
242,novita dewi_242,2026-03-12,4,930,78.5,21.5,,,
243,novri sabli saputra_243,2026-03-12,4,996,76.8,23.2,,,
244,pajar bahari_244,2026-03-12,4,972,80.6,19.4,,,
245,redha fauziah aziz_245,2026-03-13,4,1116,92.8,7.2,,,
246,ridho_246,2026-03-13,4,900,77,23,,,
247,ridho fajri_247,2026-03-14,4,948,79.4,20.6,,,
248,ridho rismayanda_248,2026-03-14,4,924,73.2,26.8,,,
249,ridwan candra_249,2026-03-14,4,1116,102.8,-2.8,,,
